yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2014, 11, 25, 3, 0, 0, 0.93, 7.5, 81.57
2014, 11, 25, 6, 0, 0, 1.1, 9.8, 120.57
2014, 11, 25, 9, 0, 0, 1.11, 6.1, 66.57
2014, 11, 26, 3, 0, 0, 1.17, 11.6, 122.57
2014, 11, 26, 6, 0, 0, 1.24, 6.7, 75.57
2014, 11, 26, 9, 0, 0, 1.21, 6.1, 64.57
2014, 11, 26, 12, 0, 0, 1.11, 6.1, 79.57
2014, 11, 26, 15, 0, 0, 1.32, 6.7, 69.57
2014, 11, 26, 18, 0, 0, 1.35, 7.5, 77.57
2014, 11, 27, 3, 0, 0, 1.29, 6.7, 84.57
2014, 11, 27, 6, 0, 0, 1.22, 7.5, 132.57
2014, 11, 27, 9, 0, 0, 1.35, 6.7, 103.57
2014, 11, 27, 12, 0, 0, 1.2, 6.7, 81.57
2014, 11, 27, 15, 0, 0, 1.13, 7.5, 106.57
2014, 11, 27, 18, 0, 0, 1.21, 7.5, 73.57
2014, 11, 28, 3, 0, 0, 1.44, 7.5, 109.57
2014, 11, 28, 6, 0, 0, 1.41, 8.5, 106.57
2014, 11, 28, 9, 0, 0, 1.38, 8.5, 96.57
2014, 11, 28, 12, 0, 0, 1.28, 8.5, 100.57
2014, 11, 28, 15, 0, 0, 1.22, 8.5, 107.57
2014, 11, 28, 18, 0, 0, 1.29, 8.5, 95.57
2014, 11, 29, 3, 0, 0, 1.28, 8.5, 103.57
2014, 11, 29, 6, 0, 0, 1.26, 7.5, 93.57
2014, 11, 29, 9, 0, 0, 1.41, 8.5, 104.57
2014, 11, 29, 12, 0, 0, 1.26, 7.5, 84.57
2014, 11, 29, 15, 0, 0, 1.25, 8.5, 104.57
2014, 11, 29, 18, 0, 0, 1.03, 8.5, 89.57
2014, 11, 30, 3, 0, 0, 1.14, 8.5, 105.57
2014, 11, 30, 6, 0, 0, 1.05, 8.5, 107.57
2014, 11, 30, 9, 0, 0, 0.99, 7.5, 112.57
2014, 11, 30, 12, 0, 0, 0.89, 6.7, 119.57
