yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2014, 4, 1, 3, 17, 0, 1.32, 11.76, 146.3
2014, 4, 1, 4, 17, 0, 1.29, 7.14, 125.2
2014, 4, 1, 5, 17, 0, 1.44, 6.25, 132.2
2014, 4, 1, 6, 17, 0, 1.46, 7.14, 129.4
2014, 4, 1, 7, 17, 0, 1.52, 7.14, 136.4
2014, 4, 1, 8, 17, 0, 1.47, 7.14, 126.6
2014, 4, 1, 9, 17, 0, 1.42, 7.69, 126.6
2014, 4, 1, 10, 17, 0, 1.37, 7.14, 120.9
2014, 4, 1, 11, 17, 0, 1.33, 7.14, 128.0
2014, 4, 1, 12, 17, 0, 1.33, 7.69, 129.4
2014, 4, 1, 13, 17, 0, 1.3, 7.69, 118.1
2014, 4, 1, 14, 17, 0, 1.33, 7.69, 126.6
2014, 4, 1, 15, 17, 0, 1.19, 7.69, 137.8
2014, 4, 1, 16, 17, 0, 1.37, 7.69, 122.3
2014, 4, 1, 17, 17, 0, 1.34, 7.14, 132.2
2014, 4, 1, 18, 17, 0, 1.42, 7.14, 128.0
2014, 4, 1, 19, 17, 0, 1.37, 7.69, 128.0
2014, 4, 1, 20, 17, 0, 1.45, 7.14, 146.3
2014, 4, 1, 21, 17, 0, 1.31, 7.14, 125.2
2014, 4, 1, 22, 17, 0, 1.43, 7.14, 123.8
2014, 4, 1, 23, 17, 0, 1.33, 7.14, 118.1
2014, 4, 2, 0, 17, 0, 1.26, 7.14, 133.6
2014, 4, 2, 1, 17, 0, 1.26, 6.67, 139.2
2014, 4, 2, 2, 17, 0, 1.28, 6.25, 139.2
2014, 4, 2, 3, 17, 0, 1.19, 6.25, 122.3
2014, 4, 2, 4, 17, 0, 1.12, 11.11, 144.8
2014, 4, 2, 5, 17, 0, 1.23, 7.14, 123.8
2014, 4, 2, 6, 17, 0, 1.17, 6.67, 130.8
2014, 4, 2, 7, 17, 0, 1.19, 6.67, 113.9
2014, 4, 2, 8, 17, 0, 1.19, 10.0, 147.7
2014, 4, 2, 9, 17, 0, 1.19, 7.14, 125.2
2014, 4, 2, 10, 17, 0, 1.14, 6.67, 116.7
2014, 4, 2, 11, 17, 0, 1.19, 13.33, 161.7
2014, 4, 2, 12, 17, 0, 1.24, 13.33, 171.6
2014, 4, 2, 13, 17, 0, 1.26, 6.25, 122.3
2014, 4, 2, 14, 17, 0, 1.26, 10.53, 154.7
2014, 4, 2, 15, 17, 0, 1.21, 6.67, 132.2
2014, 4, 2, 16, 17, 0, 1.22, 10.0, 136.4
2014, 4, 2, 17, 17, 0, 1.17, 8.33, 136.4
2014, 4, 2, 18, 17, 0, 1.13, 7.14, 116.7
2014, 4, 2, 19, 17, 0, 1.13, 10.53, 150.5
2014, 4, 2, 20, 17, 0, 1.18, 7.14, 120.9
2014, 4, 2, 21, 17, 0, 1.1, 7.14, 129.4
2014, 4, 2, 22, 17, 0, 1.05, 7.14, 129.4
2014, 4, 2, 23, 17, 0, 1.01, 11.11, 149.1
2014, 4, 3, 0, 17, 0, 1.12, 6.67, 126.6
2014, 4, 3, 1, 17, 0, 1.04, 8.33, 132.2
2014, 4, 3, 2, 17, 0, 1.1, 7.69, 115.3
2014, 4, 3, 3, 18, 0, 1.13, 8.33, 115.3
2014, 4, 3, 4, 18, 0, 1.04, 8.33, 136.4
2014, 4, 3, 5, 18, 0, 1.09, 8.33, 128.0
2014, 4, 3, 6, 18, 0, 1.1, 8.33, 123.8
2014, 4, 3, 7, 18, 0, 1.18, 7.69, 132.2
2014, 4, 3, 8, 18, 0, 1.2, 7.69, 120.9
2014, 4, 3, 9, 18, 0, 1.22, 7.14, 128.0
2014, 4, 3, 10, 18, 0, 1.28, 7.69, 133.6
2014, 4, 3, 11, 18, 0, 1.24, 6.67, 120.9
2014, 4, 3, 12, 18, 0, 1.23, 7.69, 129.4
2014, 4, 3, 13, 18, 0, 1.2, 8.33, 132.2
2014, 4, 3, 14, 18, 0, 1.22, 8.33, 123.8
2014, 4, 3, 15, 18, 0, 1.22, 6.67, 128.0
2014, 4, 3, 16, 18, 0, 1.25, 7.14, 128.0
2014, 4, 3, 17, 18, 0, 1.22, 9.09, 128.0
2014, 4, 3, 18, 18, 0, 1.27, 8.33, 132.2
2014, 4, 3, 19, 18, 0, 1.21, 9.09, 140.6
2014, 4, 3, 20, 18, 0, 1.3, 8.33, 136.4
2014, 4, 3, 21, 18, 0, 1.25, 7.69, 142.0
2014, 4, 3, 22, 18, 0, 1.22, 8.33, 137.8
2014, 4, 3, 23, 18, 0, 1.25, 7.69, 137.8
2014, 4, 4, 0, 18, 0, 1.17, 8.33, 137.8
2014, 4, 4, 1, 18, 0, 1.21, 8.33, 143.4
2014, 4, 4, 2, 18, 0, 1.18, 7.14, 135.0
2014, 4, 4, 3, 18, 0, 1.17, 8.33, 132.2
2014, 4, 4, 4, 18, 0, 1.19, 8.33, 135.0
2014, 4, 4, 5, 18, 0, 1.11, 9.09, 136.4
2014, 4, 4, 6, 18, 0, 1.15, 8.33, 132.2
2014, 4, 4, 7, 18, 0, 1.13, 8.33, 128.0
2014, 4, 4, 8, 18, 0, 1.16, 8.33, 143.4
2014, 4, 4, 9, 18, 0, 1.13, 8.33, 143.4
2014, 4, 4, 10, 18, 0, 1.17, 8.33, 142.0
2014, 4, 4, 11, 18, 0, 1.09, 8.33, 133.6
2014, 4, 4, 12, 18, 0, 1.06, 8.33, 139.2
2014, 4, 4, 13, 18, 0, 1.05, 8.33, 137.8
2014, 4, 4, 14, 18, 0, 1.05, 7.69, 136.4
2014, 4, 4, 15, 18, 0, 1.06, 8.33, 143.4
2014, 4, 4, 16, 18, 0, 1.12, 8.33, 146.3
2014, 4, 4, 17, 18, 0, 1.08, 8.33, 137.8
2014, 4, 4, 18, 18, 0, 1.07, 8.33, 132.2
2014, 4, 4, 19, 18, 0, 1.14, 8.33, 136.4
2014, 4, 4, 20, 18, 0, 1.12, 8.33, 137.8
2014, 4, 4, 21, 18, 0, 1.08, 7.69, 139.2
2014, 4, 4, 22, 18, 0, 1.12, 7.69, 135.0
2014, 4, 4, 23, 18, 0, 1.15, 8.33, 144.8
2014, 4, 5, 0, 18, 0, 1.2, 8.33, 130.8
2014, 4, 5, 1, 18, 0, 1.18, 8.33, 129.4
2014, 4, 5, 2, 18, 0, 1.18, 8.33, 136.4
2014, 4, 5, 3, 18, 0, 1.25, 8.33, 140.6
2014, 4, 5, 4, 18, 0, 1.31, 8.33, 139.2
2014, 4, 5, 5, 18, 0, 1.25, 8.33, 143.4
2014, 4, 5, 6, 18, 0, 1.36, 9.09, 132.2
2014, 4, 5, 7, 18, 0, 1.39, 8.33, 137.8
2014, 4, 5, 8, 18, 0, 1.3, 8.33, 136.4
2014, 4, 5, 9, 18, 0, 1.27, 8.33, 135.0
2014, 4, 5, 10, 18, 0, 1.26, 8.33, 130.8
2014, 4, 5, 11, 18, 0, 1.27, 8.33, 132.2
2014, 4, 5, 12, 18, 0, 1.27, 9.09, 133.6
2014, 4, 5, 13, 18, 0, 1.34, 8.33, 142.0
2014, 4, 5, 14, 18, 0, 1.33, 8.33, 135.0
2014, 4, 5, 15, 18, 0, 1.39, 9.09, 143.4
2014, 4, 5, 16, 18, 0, 1.26, 8.33, 130.8
2014, 4, 5, 17, 18, 0, 1.36, 9.09, 140.6
2014, 4, 5, 18, 18, 0, 1.22, 8.33, 135.0
2014, 4, 5, 19, 18, 0, 1.25, 8.33, 136.4
2014, 4, 5, 20, 18, 0, 1.34, 8.33, 129.4
2014, 4, 5, 21, 18, 0, 1.27, 9.09, 132.2
2014, 4, 5, 22, 18, 0, 1.25, 8.33, 132.2
2014, 4, 5, 23, 18, 0, 1.19, 8.33, 130.8
2014, 4, 6, 0, 18, 0, 1.21, 8.33, 123.8
2014, 4, 6, 1, 18, 0, 1.16, 8.33, 130.8
2014, 4, 6, 2, 18, 0, 1.17, 8.33, 142.0
2014, 4, 6, 3, 18, 0, 1.22, 8.33, 132.2
2014, 4, 6, 4, 18, 0, 1.28, 9.09, 137.8
2014, 4, 6, 5, 18, 0, 1.11, 7.69, 120.9
2014, 4, 6, 6, 18, 0, 1.17, 8.33, 129.4
2014, 4, 6, 7, 18, 0, 1.14, 9.09, 130.8
2014, 4, 6, 8, 18, 0, 1.16, 8.33, 136.4
2014, 4, 6, 9, 18, 0, 1.21, 9.09, 133.6
2014, 4, 6, 10, 18, 0, 1.07, 8.33, 128.0
2014, 4, 6, 11, 18, 0, 1.09, 7.69, 128.0
2014, 4, 6, 12, 18, 0, 1.08, 8.33, 130.8
2014, 4, 6, 13, 17, 0, 1.1, 8.33, 135.0
2014, 4, 6, 14, 17, 0, 1.07, 8.33, 136.4
2014, 4, 6, 15, 17, 0, 1.1, 8.33, 137.8
2014, 4, 6, 16, 18, 0, 1.05, 8.33, 132.2
2014, 4, 6, 17, 18, 0, 1.14, 8.33, 122.3
2014, 4, 6, 18, 18, 0, 1.13, 8.33, 123.8
