yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2015, 8, 6, 0, 25, 0, 0.29, 13.3, 180.0
2015, 8, 6, 1, 25, 0, 0.29, 12.5, 131.0
2015, 8, 6, 2, 25, 0, 0.34, 12.5, 150.0
2015, 8, 6, 3, 25, 0, 0.32, 11.1, 159.0
2015, 8, 6, 4, 25, 0, 0.31, 12.5, 159.0
2015, 8, 6, 5, 25, 0, 0.26, 11.1, 153.0
2015, 8, 6, 6, 25, 0, 0.25, 11.8, 156.0
2015, 8, 6, 7, 25, 0, 0.23, 11.8, 172.0
2015, 8, 6, 8, 25, 0, 0.31, 12.5, 155.0
2015, 8, 6, 9, 25, 0, 0.24, 11.8, 164.0
2015, 8, 6, 10, 25, 0, 0.32, 11.1, 151.0
2015, 8, 6, 11, 25, 0, 0.33, 13.3, 166.0
2015, 8, 6, 12, 25, 0, 0.34, 12.5, 164.0
2015, 8, 6, 13, 25, 0, 0.36, 12.5, 159.0
2015, 8, 6, 14, 25, 0, 0.34, 11.1, 154.0
2015, 8, 6, 15, 25, 0, 0.4, 12.5, 141.0
2015, 8, 6, 16, 25, 0, 0.34, 14.3, 150.0
2015, 8, 6, 17, 25, 0, 0.32, 11.8, 167.0
2015, 8, 6, 18, 25, 0, 0.34, 13.3, 158.0
2015, 8, 6, 19, 25, 0, 0.34, 13.3, 148.0
2015, 8, 6, 20, 25, 0, 0.33, 10.5, 160.0
2015, 8, 6, 21, 25, 0, 0.37, 12.5, 156.0
2015, 8, 6, 22, 25, 0, 0.41, 13.3, 150.0
2015, 8, 6, 23, 25, 0, 0.46, 14.3, 158.0
2015, 8, 7, 0, 25, 0, 0.5, 10.0, 154.0
2015, 8, 7, 1, 25, 0, 0.43, 11.8, 155.0
2015, 8, 7, 2, 25, 0, 0.5, 10.0, 152.0
2015, 8, 7, 3, 25, 0, 0.53, 10.0, 157.0
2015, 8, 7, 4, 25, 0, 0.5, 13.3, 153.0
2015, 8, 7, 5, 25, 0, 0.5, 11.1, 159.0
2015, 8, 7, 6, 25, 0, 0.54, 14.3, 152.0
2015, 8, 7, 7, 25, 0, 0.53, 14.3, 153.0
2015, 8, 7, 8, 25, 0, 0.54, 13.3, 158.0
2015, 8, 7, 9, 25, 0, 0.59, 14.3, 151.0
2015, 8, 7, 10, 25, 0, 0.55, 14.3, 151.0
2015, 8, 7, 11, 25, 0, 0.76, 13.3, 149.0
