yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
2016, 11, 27, 14, 38, 0, 1.631, 11.723, 0.0
2016, 11, 27, 14, 38, 0, 1.631, 11.723, 0.0
2016, 11, 27, 16, 18, 0, 1.667, 11.723, 0.0
2016, 11, 27, 17, 7, 0, 2.102, 12.554, 0.0
2016, 11, 28, 0, 42, 0, 1.976, 15.367, 0.0
2016, 11, 28, 1, 3, 0, 1.976, 15.367, 0.0
2016, 11, 28, 1, 12, 0, 1.976, 15.367, 0.0
2016, 11, 28, 1, 14, 0, 1.976, 15.367, 0.0
2016, 11, 28, 1, 37, 0, 2.146, 16.606, 0.0
2016, 11, 28, 2, 15, 0, 2.102, 14.213, 0.0
2016, 11, 28, 3, 8, 0, 2.373, 11.723, 0.0
2016, 11, 28, 3, 52, 0, 2.28, 15.367, 0.0
2016, 11, 28, 4, 43, 0, 2.421, 12.554, 0.0
2016, 11, 28, 5, 35, 0, 2.671, 13.285, 0.0
2016, 11, 28, 6, 51, 0, 2.469, 14.213, 0.0
2016, 11, 28, 8, 24, 0, 2.469, 14.213, 0.0
2016, 11, 28, 8, 37, 0, 2.723, 15.367, 0.0
2016, 11, 28, 11, 4, 0, 2.421, 13.285, 0.0
2016, 11, 28, 11, 33, 0, 2.373, 13.285, 0.0
2016, 11, 28, 12, 23, 0, 2.235, 13.285, 0.0
2016, 11, 28, 12, 43, 0, 2.235, 13.285, 0.0
2016, 11, 28, 13, 12, 0, 2.421, 15.367, 0.0
2016, 11, 28, 13, 25, 0, 2.146, 14.213, 0.0
2016, 11, 28, 14, 17, 0, 2.19, 14.213, 0.0
2016, 11, 28, 15, 52, 0, 2.146, 14.213, 0.0
2016, 11, 28, 15, 56, 0, 2.146, 14.213, 0.0
2016, 11, 28, 16, 5, 0, 2.146, 14.213, 0.0
2016, 11, 28, 16, 49, 0, 2.19, 13.285, 0.0
2016, 11, 29, 5, 14, 0, 2.017, 13.285, 0.0
2016, 11, 29, 8, 13, 0, 1.778, 11.723, 0.0
2016, 11, 29, 9, 54, 0, 1.778, 13.285, 0.0
2016, 11, 29, 10, 1, 0, 1.741, 11.723, 0.0
2016, 11, 29, 10, 30, 0, 1.741, 11.723, 0.0
2016, 11, 29, 10, 41, 0, 1.778, 13.285, 0.0
2016, 11, 29, 10, 59, 0, 1.778, 13.285, 0.0
2016, 11, 29, 12, 11, 0, 1.667, 11.068, 0.0
2016, 11, 29, 12, 20, 0, 1.667, 11.068, 0.0
2016, 11, 29, 12, 41, 0, 1.703, 11.723, 0.0
2016, 11, 29, 13, 52, 0, 1.595, 12.554, 0.0
2016, 11, 29, 13, 56, 0, 0.24, 12.132, 0.0
2016, 11, 29, 13, 58, 0, 1.631, 13.285, 0.0
2016, 11, 29, 14, 16, 0, 1.631, 13.285, 0.0
2016, 11, 29, 15, 34, 0, 1.561, 11.068, 0.0
2016, 11, 29, 15, 42, 0, 1.561, 11.068, 0.0
2016, 11, 29, 16, 22, 0, 1.703, 12.554, 0.0
2016, 11, 29, 20, 54, 0, 1.394, 15.029, 0.0
2016, 11, 29, 22, 3, 0, 1.817, 12.842, 0.0
