yyyy, mm, dd, hour, min, seg, altura, periodo, direcao
1962, 11, 7, 21, 0, 0, 1.3, 8.0, 160.0
1962, 11, 8, 9, 0, 0, 1.8, 8.0, 125.0
1962, 11, 8, 21, 0, 0, 2.3, 10.0, 135.0
1962, 11, 9, 9, 0, 0, 3.0, 12.0, 130.0
1962, 11, 9, 21, 0, 0, 2.7, 11.0, 125.0
1962, 11, 10, 9, 0, 0, 2.1, 11.0, 125.0
1962, 11, 10, 21, 0, 0, 1.7, 10.0, 120.0
1962, 11, 11, 9, 0, 0, 1.6, 10.0, 115.0
1962, 11, 11, 21, 0, 0, 1.6, 9.0, 115.0
1962, 11, 12, 9, 0, 0, 1.5, 7.0, 115.0
1962, 11, 12, 21, 0, 0, 2.1, 6.0, 110.0
1962, 11, 13, 9, 0, 0, 2.0, 6.0, 110.0
1962, 11, 13, 21, 0, 0, 1.8, 6.0, 110.0
1962, 11, 14, 9, 0, 0, 2.2, 7.0, 110.0
1962, 11, 14, 21, 0, 0, 2.1, 6.0, 110.0
1962, 11, 30, 21, 0, 0, 1.2, 8.0, 110.0
1962, 12, 1, 9, 0, 0, 1.8, 9.0, 110.0
1962, 12, 1, 21, 0, 0, 2.6, 10.0, 95.0
1962, 12, 2, 9, 0, 0, 2.4, 8.0, 85.0
1962, 12, 2, 21, 0, 0, 1.6, 7.0, 115.0
1962, 12, 3, 9, 0, 0, 1.2, 8.0, 140.0
1962, 12, 3, 21, 0, 0, 1.7, 7.0, 140.0
1962, 12, 4, 9, 0, 0, 1.5, 7.0, 135.0
1962, 12, 4, 21, 0, 0, 1.4, 9.0, 135.0
1962, 12, 5, 9, 0, 0, 1.3, 9.0, 135.0
1962, 12, 5, 21, 0, 0, 1.7, 9.0, 130.0
1962, 12, 6, 9, 0, 0, 1.7, 9.0, 125.0
1962, 12, 6, 21, 0, 0, 2.5, 9.0, 120.0
1962, 12, 7, 9, 0, 0, 2.0, 9.0, 110.0
1962, 12, 7, 21, 0, 0, 2.3, 8.0, 105.0
1962, 12, 8, 9, 0, 0, 1.8, 8.0, 105.0
1962, 12, 8, 21, 0, 0, 2.2, 7.0, 100.0
1962, 12, 9, 9, 0, 0, 1.7, 7.0, 95.0
1962, 12, 9, 21, 0, 0, 1.3, 7.0, 100.0
1962, 12, 10, 9, 0, 0, 1.2, 7.0, 95.0
1962, 12, 10, 21, 0, 0, 1.4, 6.0, 95.0
1962, 12, 11, 9, 0, 0, 2.2, 7.0, 85.0
1962, 12, 11, 21, 0, 0, 1.8, 8.0, 85.0
1962, 12, 12, 9, 0, 0, 1.5, 7.0, 115.0
1962, 12, 18, 21, 0, 0, 1.2, 7.0, 140.0
1962, 12, 19, 9, 0, 0, 1.2, 8.0, 125.0
1962, 12, 19, 21, 0, 0, 1.4, 7.0, 110.0
1962, 12, 20, 9, 0, 0, 1.2, 7.0, 100.0
1962, 12, 20, 21, 0, 0, 1.4, 6.0, 90.0
1962, 12, 21, 9, 0, 0, 1.7, 6.0, 100.0
1962, 12, 21, 21, 0, 0, 1.4, 7.0, 105.0
1962, 12, 22, 9, 0, 0, 1.1, 7.0, 110.0
1962, 12, 22, 21, 0, 0, 1.1, 7.0, 110.0
1962, 12, 23, 9, 0, 0, 1.3, 8.0, 115.0
1962, 12, 23, 21, 0, 0, 1.4, 9.0, 95.0
1962, 12, 24, 9, 0, 0, 0.9, 9.0, 130.0
1962, 12, 24, 21, 0, 0, 1.6, 7.0, 135.0
1962, 12, 25, 9, 0, 0, 1.5, 9.0, 110.0
1962, 12, 25, 21, 0, 0, 1.8, 12.0, 105.0
1962, 12, 26, 9, 0, 0, 1.7, 12.0, 95.0
1962, 12, 26, 21, 0, 0, 1.2, 8.0, 90.0
1962, 12, 27, 9, 0, 0, 1.8, 6.0, 130.0
1962, 12, 27, 21, 0, 0, 1.8, 11.0, 135.0
1962, 12, 28, 9, 0, 0, 2.3, 12.0, 85.0
1962, 12, 28, 21, 0, 0, 1.9, 11.0, 90.0
1962, 12, 29, 9, 0, 0, 1.5, 8.0, 92.5
1962, 12, 29, 21, 0, 0, 1.4, 8.0, 95.0
1962, 12, 30, 9, 0, 0, 1.3, 9.0, 100.0
1962, 12, 30, 21, 0, 0, 1.3, 10.0, 105.0
1962, 12, 31, 9, 0, 0, 1.8, 8.0, 95.0
1962, 12, 31, 21, 0, 0, 1.9, 9.0, 120.0
1963, 1, 1, 9, 0, 0, 1.8, 9.0, 105.0
1963, 1, 1, 21, 0, 0, 1.8, 8.0, 115.0
1963, 1, 2, 9, 0, 0, 1.4, 9.0, 120.0
1963, 1, 2, 21, 0, 0, 1.4, 8.0, 115.0
1963, 1, 3, 9, 0, 0, 1.5, 8.0, 90.0
1963, 1, 3, 21, 0, 0, 1.2, 9.0, 120.0
1963, 1, 4, 9, 0, 0, 1.1, 10.0, 120.0
1963, 1, 4, 21, 0, 0, 1.0, 8.0, 125.0
1963, 1, 5, 9, 0, 0, 1.0, 7.0, 120.0
1963, 1, 5, 21, 0, 0, 1.0, 7.0, 115.0
1963, 1, 6, 9, 0, 0, 1.2, 5.0, 95.0
1963, 1, 6, 21, 0, 0, 1.5, 6.0, 95.0
1963, 1, 7, 9, 0, 0, 1.5, 6.0, 100.0
1963, 1, 7, 21, 0, 0, 1.0, 6.0, 95.0
1963, 2, 5, 21, 0, 0, 1.4, 5.0, 140.0
1963, 2, 6, 9, 0, 0, 1.8, 6.0, 135.0
1963, 2, 6, 21, 0, 0, 1.7, 7.0, 135.0
1963, 2, 7, 9, 0, 0, 1.5, 7.0, 125.0
1963, 2, 7, 21, 0, 0, 1.6, 7.0, 120.0
1963, 2, 8, 9, 0, 0, 1.6, 6.0, 100.0
1963, 2, 8, 21, 0, 0, 1.5, 5.0, 95.0
1963, 2, 9, 9, 0, 0, 1.8, 6.0, 95.0
1963, 2, 9, 21, 0, 0, 1.9, 6.0, 95.0
1963, 2, 10, 9, 0, 0, 2.0, 7.0, 80.0
1963, 2, 10, 21, 0, 0, 1.8, 6.0, 75.0
1963, 2, 11, 9, 0, 0, 1.8, 6.0, 95.0
1963, 2, 11, 21, 0, 0, 1.7, 6.0, 90.0
1963, 2, 12, 9, 0, 0, 1.8, 7.0, 85.0
1963, 2, 12, 21, 0, 0, 1.3, 6.0, 90.0
1963, 2, 13, 9, 0, 0, 1.4, 6.0, 90.0
1963, 2, 13, 21, 0, 0, 1.7, 6.0, 95.0
1963, 2, 14, 9, 0, 0, 1.6, 6.0, 85.0
1963, 2, 14, 21, 0, 0, 1.6, 6.0, 95.0
1963, 2, 15, 9, 0, 0, 1.7, 7.0, 90.0
1963, 2, 15, 21, 0, 0, 1.9, 7.0, 100.0
1963, 2, 16, 9, 0, 0, 1.7, 7.0, 95.0
1963, 2, 16, 21, 0, 0, 1.7, 7.0, 95.0
1963, 2, 17, 9, 0, 0, 1.6, 7.0, 85.0
1963, 2, 17, 21, 0, 0, 1.7, 7.0, 80.0
1963, 2, 18, 9, 0, 0, 1.6, 6.0, 110.0
1963, 2, 18, 21, 0, 0, 1.3, 7.0, 105.0
1963, 2, 19, 9, 0, 0, 1.1, 7.0, 125.0
1963, 2, 19, 21, 0, 0, 0.9, 8.0, 125.0
1963, 2, 20, 9, 0, 0, 0.9, 8.0, 125.0
1963, 2, 20, 21, 0, 0, 1.3, 8.0, 140.0
1963, 2, 21, 9, 0, 0, 1.2, 9.0, 145.0
1963, 2, 21, 21, 0, 0, 1.5, 8.0, 140.0
1963, 2, 22, 9, 0, 0, 1.6, 10.0, 120.0
1963, 2, 22, 21, 0, 0, 1.9, 10.0, 100.0
1963, 2, 23, 9, 0, 0, 1.6, 10.0, 115.0
1963, 2, 23, 21, 0, 0, 1.3, 10.0, 100.0
1963, 2, 24, 9, 0, 0, 1.0, 9.0, 105.0
1963, 2, 24, 21, 0, 0, 1.4, 8.0, 100.0
1963, 2, 25, 9, 0, 0, 1.3, 8.0, 115.0
1963, 2, 25, 21, 0, 0, 2.8, 10.0, 117.5
1963, 2, 26, 9, 0, 0, 1.9, 8.0, 120.0
1963, 2, 26, 21, 0, 0, 2.2, 8.0, 115.0
1963, 2, 27, 9, 0, 0, 2.5, 9.0, 125.0
1963, 2, 27, 21, 0, 0, 2.2, 9.0, 115.0
1963, 2, 28, 9, 0, 0, 2.0, 9.0, 120.0
1963, 2, 28, 21, 0, 0, 1.8, 9.0, 120.0
1963, 3, 1, 9, 0, 0, 1.2, 8.0, 125.0
1963, 3, 1, 21, 0, 0, 1.5, 8.0, 140.0
1963, 3, 2, 9, 0, 0, 1.1, 9.0, 120.0
1963, 3, 2, 21, 0, 0, 1.1, 7.0, 100.0
1963, 3, 3, 9, 0, 0, 1.2, 9.0, 90.0
1963, 3, 3, 21, 0, 0, 1.9, 9.0, 100.0
1963, 3, 4, 9, 0, 0, 1.6, 9.0, 110.0
1963, 3, 4, 21, 0, 0, 1.4, 9.0, 112.5
1963, 3, 5, 9, 0, 0, 1.2, 8.0, 100.0
1963, 3, 5, 21, 0, 0, 1.7, 6.0, 80.0
1963, 3, 6, 9, 0, 0, 2.0, 7.0, 95.0
1963, 3, 6, 21, 0, 0, 1.5, 7.0, 100.0
1963, 3, 7, 9, 0, 0, 1.1, 6.0, 120.0
1963, 3, 7, 21, 0, 0, 0.9, 7.0, 135.0
1963, 3, 8, 9, 0, 0, 1.0, 7.0, 110.0
1963, 3, 8, 21, 0, 0, 1.2, 6.0, 110.0
1963, 3, 9, 9, 0, 0, 1.9, 6.0, 120.0
1963, 3, 9, 21, 0, 0, 2.4, 7.0, 130.0
1963, 3, 10, 9, 0, 0, 2.8, 10.0, 110.0
1963, 3, 14, 21, 0, 0, 1.4, 9.0, 125.0
1963, 3, 15, 9, 0, 0, 1.2, 8.0, 80.0
1963, 3, 15, 21, 0, 0, 1.9, 9.0, 75.0
1963, 3, 16, 9, 0, 0, 2.0, 8.0, 75.0
1963, 3, 16, 21, 0, 0, 2.3, 11.0, 100.0
1963, 3, 17, 9, 0, 0, 1.5, 8.0, 110.0
1963, 3, 17, 21, 0, 0, 1.4, 9.0, 100.0
1963, 3, 18, 9, 0, 0, 1.4, 11.0, 120.0
1963, 3, 18, 21, 0, 0, 1.4, 8.0, 110.0
1963, 3, 19, 9, 0, 0, 1.5, 11.0, 110.0
1963, 3, 19, 21, 0, 0, 1.4, 9.0, 115.0
1963, 3, 20, 9, 0, 0, 1.5, 10.0, 100.0
1963, 3, 20, 21, 0, 0, 1.6, 8.0, 115.0
1963, 3, 21, 9, 0, 0, 1.5, 8.0, 125.0
1963, 3, 21, 21, 0, 0, 1.4, 7.0, 130.0
1963, 3, 22, 9, 0, 0, 1.8, 7.0, 125.0
1963, 3, 22, 21, 0, 0, 2.4, 7.0, 120.0
1963, 3, 23, 9, 0, 0, 2.0, 8.0, 125.0
1963, 3, 23, 21, 0, 0, 2.3, 8.0, 120.0
1963, 3, 24, 9, 0, 0, 2.1, 8.0, 125.0
1963, 3, 24, 21, 0, 0, 2.0, 9.0, 120.0
1963, 4, 1, 21, 0, 0, 1.7, 8.0, 80.0
1963, 4, 2, 9, 0, 0, 1.3, 8.0, 85.0
1963, 4, 2, 21, 0, 0, 1.2, 8.0, 80.0
1963, 4, 3, 9, 0, 0, 1.1, 9.0, 75.0
1963, 4, 3, 21, 0, 0, 1.2, 9.0, 75.0
1963, 4, 4, 9, 0, 0, 1.8, 8.0, 90.0
1963, 4, 4, 21, 0, 0, 1.8, 7.0, 85.0
1963, 4, 5, 9, 0, 0, 1.9, 8.0, 80.0
1963, 4, 5, 21, 0, 0, 1.9, 6.0, 80.0
1963, 4, 6, 9, 0, 0, 2.5, 6.0, 75.0
1963, 4, 6, 21, 0, 0, 2.0, 6.0, 75.0
1963, 4, 7, 9, 0, 0, 1.7, 7.0, 80.0
1963, 4, 7, 21, 0, 0, 2.2, 7.0, 85.0
1963, 4, 8, 9, 0, 0, 1.8, 8.0, 85.0
1963, 4, 8, 21, 0, 0, 1.8, 8.0, 90.0
1963, 4, 9, 9, 0, 0, 1.4, 8.0, 107.5
1963, 4, 9, 21, 0, 0, 1.6, 6.0, 125.0
1963, 4, 10, 9, 0, 0, 2.5, 9.0, 130.0
1963, 4, 10, 21, 0, 0, 2.6, 9.0, 135.0
1963, 4, 11, 9, 0, 0, 2.1, 9.0, 135.0
1963, 4, 11, 21, 0, 0, 1.4, 9.0, 135.0
1963, 4, 12, 9, 0, 0, 1.3, 8.0, 140.0
1963, 4, 12, 21, 0, 0, 1.6, 8.0, 145.0
1963, 4, 13, 9, 0, 0, 1.6, 9.0, 140.0
1963, 4, 13, 21, 0, 0, 1.2, 8.0, 115.0
1963, 4, 14, 9, 0, 0, 1.8, 10.0, 90.0
1963, 4, 14, 21, 0, 0, 1.8, 9.0, 80.0
